2026-08-21T21:24:38.7006822-04:00 FLEET015_WITNESS_READY pin=GPIO5
2026-08-21T21:24:38.7006822-04:00 mode=servo_pwm_observer expected_hz=50
2026-08-21T21:24:43.7502595-04:00 WITNESS_HEARTBEAT ticks_ms=110770 state=IDLE
2026-08-21T21:24:48.7771238-04:00 WITNESS_HEARTBEAT ticks_ms=115790 state=IDLE
2026-08-21T21:24:53.7985618-04:00 WITNESS_HEARTBEAT ticks_ms=120811 state=IDLE
2026-08-21T21:24:58.8089869-04:00 WITNESS_HEARTBEAT ticks_ms=125830 state=IDLE
2026-08-21T21:25:03.8343393-04:00 WITNESS_HEARTBEAT ticks_ms=130849 state=IDLE
2026-08-21T21:25:08.8492646-04:00 WITNESS_HEARTBEAT ticks_ms=135868 state=IDLE
2026-08-21T21:25:13.8743326-04:00 WITNESS_HEARTBEAT ticks_ms=140887 state=IDLE
2026-08-21T21:25:18.8917747-04:00 WITNESS_HEARTBEAT ticks_ms=145906 state=IDLE
2026-08-21T21:25:23.9060740-04:00 WITNESS_HEARTBEAT ticks_ms=150927 state=IDLE
2026-08-21T21:25:28.9275066-04:00 WITNESS_HEARTBEAT ticks_ms=155946 state=IDLE
2026-08-21T21:25:33.9495280-04:00 WITNESS_HEARTBEAT ticks_ms=160965 state=IDLE
2026-08-21T21:25:38.9660813-04:00 WITNESS_HEARTBEAT ticks_ms=165984 state=IDLE
2026-08-21T21:25:43.9840165-04:00 WITNESS_HEARTBEAT ticks_ms=171003 state=IDLE
2026-08-21T21:25:49.0059844-04:00 WITNESS_HEARTBEAT ticks_ms=176022 state=IDLE
2026-08-21T21:25:54.0236987-04:00 WITNESS_HEARTBEAT ticks_ms=181043 state=IDLE
2026-08-21T21:25:59.0489322-04:00 WITNESS_HEARTBEAT ticks_ms=186062 state=IDLE
2026-08-21T21:26:04.0667892-04:00 WITNESS_HEARTBEAT ticks_ms=191081 state=IDLE
2026-08-21T21:26:09.0825470-04:00 WITNESS_HEARTBEAT ticks_ms=196100 state=IDLE
2026-08-21T21:26:14.0995138-04:00 WITNESS_HEARTBEAT ticks_ms=201119 state=IDLE
2026-08-21T21:26:19.1179404-04:00 WITNESS_HEARTBEAT ticks_ms=206139 state=IDLE
2026-08-21T21:26:24.1380265-04:00 WITNESS_HEARTBEAT ticks_ms=211159 state=IDLE
2026-08-21T21:26:29.1589571-04:00 WITNESS_HEARTBEAT ticks_ms=216180 state=IDLE
2026-08-21T21:26:34.1861412-04:00 WITNESS_HEARTBEAT ticks_ms=221198 state=IDLE
2026-08-21T21:26:39.1987371-04:00 WITNESS_HEARTBEAT ticks_ms=226218 state=IDLE
2026-08-21T21:26:44.2234203-04:00 WITNESS_HEARTBEAT ticks_ms=231241 state=IDLE
2026-08-21T21:26:48.0101278-04:00 WITNESS_BURST_START ticks_ms=235058
2026-08-21T21:26:49.1788853-04:00 WITNESS_BURST_END ticks_ms=236187 pulses=50 duration_ms=979 pulse_min_us=802 pulse_max_us=2001
2026-08-21T21:26:49.2330259-04:00 WITNESS_HEARTBEAT ticks_ms=236249 state=IDLE
2026-08-21T21:26:54.2522431-04:00 WITNESS_HEARTBEAT ticks_ms=241268 state=IDLE
2026-08-21T21:26:59.2762838-04:00 WITNESS_HEARTBEAT ticks_ms=246289 state=IDLE
2026-08-21T21:27:04.2864124-04:00 WITNESS_HEARTBEAT ticks_ms=251308 state=IDLE
2026-08-21T21:27:09.3142740-04:00 WITNESS_HEARTBEAT ticks_ms=256327 state=IDLE
2026-08-21T21:27:14.3293907-04:00 WITNESS_HEARTBEAT ticks_ms=261346 state=IDLE
2026-08-21T21:27:19.3441867-04:00 WITNESS_HEARTBEAT ticks_ms=266366 state=IDLE
2026-08-21T21:27:24.3639118-04:00 WITNESS_HEARTBEAT ticks_ms=271385 state=IDLE
2026-08-21T21:27:29.3870453-04:00 WITNESS_HEARTBEAT ticks_ms=276406 state=IDLE
2026-08-21T21:27:34.4060777-04:00 WITNESS_HEARTBEAT ticks_ms=281425 state=IDLE
2026-08-21T21:27:39.4270718-04:00 WITNESS_HEARTBEAT ticks_ms=286443 state=IDLE
2026-08-21T21:27:44.4428765-04:00 WITNESS_HEARTBEAT ticks_ms=291462 state=IDLE
2026-08-21T21:27:49.4593308-04:00 WITNESS_HEARTBEAT ticks_ms=296481 state=IDLE
2026-08-21T21:27:54.4857369-04:00 WITNESS_HEARTBEAT ticks_ms=301500 state=IDLE
2026-08-21T21:27:59.5017764-04:00 WITNESS_HEARTBEAT ticks_ms=306520 state=IDLE
2026-08-21T21:28:04.5216275-04:00 WITNESS_HEARTBEAT ticks_ms=311540 state=IDLE
2026-08-21T21:28:09.5406149-04:00 WITNESS_HEARTBEAT ticks_ms=316559 state=IDLE
2026-08-21T21:28:14.5642484-04:00 WITNESS_HEARTBEAT ticks_ms=321578 state=IDLE
2026-08-21T21:28:19.5807177-04:00 WITNESS_HEARTBEAT ticks_ms=326598 state=IDLE
2026-08-21T21:28:24.6023940-04:00 WITNESS_HEARTBEAT ticks_ms=331617 state=IDLE
2026-08-21T21:28:29.6218781-04:00 WITNESS_HEARTBEAT ticks_ms=336637 state=IDLE
2026-08-21T21:28:34.6405753-04:00 WITNESS_HEARTBEAT ticks_ms=341657 state=IDLE
2026-08-21T21:28:39.6616229-04:00 WITNESS_HEARTBEAT ticks_ms=346676 state=IDLE
2026-08-21T21:28:44.6707216-04:00 WITNESS_HEARTBEAT ticks_ms=351695 state=IDLE
2026-08-21T21:28:49.6974720-04:00 WITNESS_HEARTBEAT ticks_ms=356714 state=IDLE
2026-08-21T21:28:54.7129685-04:00 WITNESS_HEARTBEAT ticks_ms=361733 state=IDLE
2026-08-21T21:28:59.7290997-04:00 WITNESS_HEARTBEAT ticks_ms=366752 state=IDLE
2026-08-21T21:29:04.7595221-04:00 WITNESS_HEARTBEAT ticks_ms=371773 state=IDLE
2026-08-21T21:29:09.7734153-04:00 WITNESS_HEARTBEAT ticks_ms=376792 state=IDLE
2026-08-21T21:29:14.7940582-04:00 WITNESS_HEARTBEAT ticks_ms=381811 state=IDLE
2026-08-21T21:29:19.8073807-04:00 WITNESS_HEARTBEAT ticks_ms=386830 state=IDLE
2026-08-21T21:29:24.8309406-04:00 WITNESS_HEARTBEAT ticks_ms=391849 state=IDLE
2026-08-21T21:29:29.8508769-04:00 WITNESS_HEARTBEAT ticks_ms=396869 state=IDLE
2026-08-21T21:29:34.8683745-04:00 WITNESS_HEARTBEAT ticks_ms=401888 state=IDLE
2026-08-21T21:29:39.8907194-04:00 WITNESS_HEARTBEAT ticks_ms=406909 state=IDLE
2026-08-21T21:29:44.9052195-04:00 WITNESS_HEARTBEAT ticks_ms=411929 state=IDLE
2026-08-21T21:29:49.9295211-04:00 WITNESS_HEARTBEAT ticks_ms=416947 state=IDLE
2026-08-21T21:29:54.9488205-04:00 WITNESS_HEARTBEAT ticks_ms=421966 state=IDLE
2026-08-21T21:29:59.9625117-04:00 WITNESS_HEARTBEAT ticks_ms=426985 state=IDLE
2026-08-21T21:30:04.9852082-04:00 WITNESS_HEARTBEAT ticks_ms=432004 state=IDLE
2026-08-21T21:30:10.0095823-04:00 WITNESS_HEARTBEAT ticks_ms=437025 state=IDLE
2026-08-21T21:30:15.0238527-04:00 WITNESS_HEARTBEAT ticks_ms=442044 state=IDLE
2026-08-21T21:30:20.0428225-04:00 WITNESS_HEARTBEAT ticks_ms=447064 state=IDLE
2026-08-21T21:30:25.0636402-04:00 WITNESS_HEARTBEAT ticks_ms=452083 state=IDLE
