2026-08-20T00:00:47.3972656-04:00 FLEET015_WITNESS_READY pin=GPIO5
2026-08-20T00:00:47.3972656-04:00 mode=servo_pwm_observer expected_hz=50
2026-08-20T00:00:52.4186475-04:00 WITNESS_HEARTBEAT ticks_ms=793411 state=IDLE
2026-08-20T00:00:57.4341279-04:00 WITNESS_HEARTBEAT ticks_ms=798431 state=IDLE
2026-08-20T00:01:02.4603207-04:00 WITNESS_HEARTBEAT ticks_ms=803452 state=IDLE
2026-08-20T00:01:07.4746910-04:00 WITNESS_HEARTBEAT ticks_ms=808472 state=IDLE
2026-08-20T00:01:12.5324473-04:00 WITNESS_HEARTBEAT ticks_ms=813494 state=IDLE
2026-08-20T00:01:17.5178517-04:00 WITNESS_HEARTBEAT ticks_ms=818515 state=IDLE
2026-08-20T00:01:22.5399368-04:00 WITNESS_HEARTBEAT ticks_ms=823536 state=IDLE
2026-08-20T00:01:27.5684800-04:00 WITNESS_HEARTBEAT ticks_ms=828556 state=IDLE
2026-08-20T00:01:32.5791286-04:00 WITNESS_HEARTBEAT ticks_ms=833577 state=IDLE
2026-08-20T00:01:37.6029428-04:00 WITNESS_HEARTBEAT ticks_ms=838598 state=IDLE
2026-08-20T00:01:42.6216532-04:00 WITNESS_HEARTBEAT ticks_ms=843618 state=IDLE
2026-08-20T00:01:47.6481708-04:00 WITNESS_HEARTBEAT ticks_ms=848641 state=IDLE
2026-08-20T00:01:52.6715952-04:00 WITNESS_HEARTBEAT ticks_ms=853661 state=IDLE
2026-08-20T00:01:57.6887021-04:00 WITNESS_HEARTBEAT ticks_ms=858681 state=IDLE
2026-08-20T00:02:02.7059934-04:00 WITNESS_HEARTBEAT ticks_ms=863703 state=IDLE
2026-08-20T00:02:07.7289122-04:00 WITNESS_HEARTBEAT ticks_ms=868723 state=IDLE
