2026-08-21T22:31:32.5527805-04:00 FLEET015_WITNESS_READY pin=GPIO5
2026-08-21T22:31:32.5627727-04:00 mode=servo_pwm_observer expected_hz=50
2026-08-21T22:31:37.6031967-04:00 WITNESS_HEARTBEAT ticks_ms=1197352 state=IDLE
2026-08-21T22:31:42.6199448-04:00 WITNESS_HEARTBEAT ticks_ms=1202371 state=IDLE
2026-08-21T22:31:47.6438041-04:00 WITNESS_HEARTBEAT ticks_ms=1207390 state=IDLE
2026-08-21T22:31:52.6635789-04:00 WITNESS_HEARTBEAT ticks_ms=1212409 state=IDLE
2026-08-21T22:31:57.6790166-04:00 WITNESS_HEARTBEAT ticks_ms=1217428 state=IDLE
2026-08-21T22:32:02.6958970-04:00 WITNESS_HEARTBEAT ticks_ms=1222447 state=IDLE
2026-08-21T22:32:07.7186388-04:00 WITNESS_HEARTBEAT ticks_ms=1227468 state=IDLE
2026-08-21T22:32:12.7406356-04:00 WITNESS_HEARTBEAT ticks_ms=1232487 state=IDLE
2026-08-21T22:32:17.7629816-04:00 WITNESS_HEARTBEAT ticks_ms=1237506 state=IDLE
2026-08-21T22:32:22.7751988-04:00 WITNESS_HEARTBEAT ticks_ms=1242525 state=IDLE
2026-08-21T22:32:27.7961364-04:00 WITNESS_HEARTBEAT ticks_ms=1247544 state=IDLE
2026-08-21T22:32:32.8132984-04:00 WITNESS_HEARTBEAT ticks_ms=1252563 state=IDLE
2026-08-21T22:32:37.8343606-04:00 WITNESS_HEARTBEAT ticks_ms=1257585 state=IDLE
2026-08-21T22:32:42.8560595-04:00 WITNESS_HEARTBEAT ticks_ms=1262604 state=IDLE
2026-08-21T22:32:47.8760742-04:00 WITNESS_HEARTBEAT ticks_ms=1267623 state=IDLE
2026-08-21T22:32:52.8949103-04:00 WITNESS_HEARTBEAT ticks_ms=1272643 state=IDLE
2026-08-21T22:32:57.9171481-04:00 WITNESS_HEARTBEAT ticks_ms=1277662 state=IDLE
2026-08-21T22:33:02.9339653-04:00 WITNESS_HEARTBEAT ticks_ms=1282681 state=IDLE
2026-08-21T22:33:07.9509115-04:00 WITNESS_HEARTBEAT ticks_ms=1287701 state=IDLE
2026-08-21T22:33:12.9725290-04:00 WITNESS_HEARTBEAT ticks_ms=1292721 state=IDLE
2026-08-21T22:33:17.9964594-04:00 WITNESS_HEARTBEAT ticks_ms=1297740 state=IDLE
2026-08-21T22:33:23.0105134-04:00 WITNESS_HEARTBEAT ticks_ms=1302759 state=IDLE
2026-08-21T22:33:28.0289240-04:00 WITNESS_HEARTBEAT ticks_ms=1307778 state=IDLE
2026-08-21T22:33:33.0454464-04:00 WITNESS_HEARTBEAT ticks_ms=1312797 state=IDLE
2026-08-21T22:33:38.0732908-04:00 WITNESS_HEARTBEAT ticks_ms=1317816 state=IDLE
2026-08-21T22:33:43.0898927-04:00 WITNESS_HEARTBEAT ticks_ms=1322838 state=IDLE
2026-08-21T22:33:48.1095326-04:00 WITNESS_HEARTBEAT ticks_ms=1327858 state=IDLE
2026-08-21T22:33:53.1302286-04:00 WITNESS_HEARTBEAT ticks_ms=1332877 state=IDLE
2026-08-21T22:33:58.1456704-04:00 WITNESS_HEARTBEAT ticks_ms=1337896 state=IDLE
2026-08-21T22:34:03.1709832-04:00 WITNESS_HEARTBEAT ticks_ms=1342915 state=IDLE
2026-08-21T22:34:08.1820119-04:00 WITNESS_HEARTBEAT ticks_ms=1347934 state=IDLE
2026-08-21T22:34:13.2017069-04:00 WITNESS_HEARTBEAT ticks_ms=1352955 state=IDLE
2026-08-21T22:34:18.2245219-04:00 WITNESS_HEARTBEAT ticks_ms=1357974 state=IDLE
2026-08-21T22:34:23.2422285-04:00 WITNESS_HEARTBEAT ticks_ms=1362993 state=IDLE
2026-08-21T22:34:28.2637666-04:00 WITNESS_HEARTBEAT ticks_ms=1368012 state=IDLE
2026-08-21T22:34:33.2893568-04:00 WITNESS_HEARTBEAT ticks_ms=1373031 state=IDLE
