run,pf_gateway_ms,conv_gateway_ms,conv_app_ms,conv_data_ms
1,18,20,9,0
2,3,3,1,0
3,3,2,2,0
4,4,3,1,0
5,3,3,1,0
6,4,3,1,0
7,3,5,1,0
8,3,2,1,0
9,3,2,1,0
10,3,2,1,0
11,3,2,1,0
12,3,2,1,0
13,3,3,2,0
14,4,3,1,0
15,3,4,1,0
16,3,3,1,0
17,2,2,1,0
18,4,3,1,0
19,3,2,2,0
20,3,2,1,0
21,3,2,1,0
22,3,3,1,0
23,3,3,1,0
24,3,2,1,0
25,2,2,1,0
26,3,2,2,0
27,3,2,1,0
28,3,2,1,0
29,3,3,1,0
30,3,4,1,0
31,3,4,2,0
32,3,2,1,0
33,2,4,2,0
34,4,2,1,0
35,3,4,1,0
36,2,2,1,0
37,2,2,2,0
38,2,2,1,0
39,3,7,6,0
40,2,2,1,0
41,2,2,1,0
42,3,2,2,0
43,7,4,2,0
44,3,2,1,0
45,2,2,1,0
46,3,2,2,0
47,2,3,2,0
48,3,4,2,0
49,3,2,1,0
50,4,2,1,0
51,3,3,1,0
52,3,3,1,0
53,3,3,1,0
54,4,2,1,0
55,2,2,1,0
56,2,2,1,0
57,3,3,1,0
58,4,2,1,0
59,3,2,2,0
60,3,2,2,0
61,5,3,2,0
62,2,2,1,0
63,2,3,1,0
64,2,2,1,0
65,2,2,1,0
66,3,2,1,0
67,3,2,2,0
68,3,2,1,0
69,2,2,1,0
70,2,3,2,0
71,3,2,1,0
72,2,2,1,0
73,3,3,1,0
74,3,3,1,0
75,3,3,2,0
76,3,3,2,0
77,2,3,1,0
78,3,3,1,0
79,2,2,1,0
80,2,2,1,0
81,3,2,1,0
82,2,3,1,0
83,2,2,1,0
84,3,3,2,0
85,2,2,1,0
86,2,3,1,0
87,2,3,1,0
88,3,4,2,0
89,3,2,2,0
90,2,2,1,0
91,3,2,1,0
92,3,3,1,0
93,4,2,1,0
94,4,2,1,0
95,2,3,2,0
96,3,3,1,0
97,2,3,2,0
98,2,3,2,0
99,2,3,1,0
100,3,3,1,0
101,2,2,1,0
102,3,2,1,0
103,2,2,1,0
104,2,3,1,0
105,2,3,1,0
106,3,2,1,0
